,country,dummy2011,emis_2011_actual,emis_2011_pred,emis_intens,emis_intens_last_year,emis_pc,emis_proj_2030,emis_proj_2035,emis_proj_2040,emis_proj_2045,emis_proj_2050,emis_tot,gdp_2030,gdp_2035,gdp_2040,gdp_2045,gdp_2050,gdp_pc,gdp_pc_2030,gdp_pc_2035,gdp_pc_2040,gdp_pc_2045,gdp_pc_2050,inc_bins,pop,pop_2030,pop_2035,pop_2040,pop_2045,pop_2050,year
15,Ghana,1,10080583.0,10080583.000000076,0.00011786552219596953,0.00013471430523276238,0.40613603013548444,251254.2004717432,404068.8001311645,622033.8986736033,911415.8598889177,1273003.8591174248,10080583.0,5725068832.348801,9207096595.44844,14173641193.95552,20767487759.25538,29006618411.19168,3445.7576954541546,171.59,261.494,384.581,543.554,739.008,"(0, 1436.666]",24820706.0,33364816.320000004,35209590.26,36854761.92,38206852.97,39250750.21,2011
16,Guinea,1,2596236.0,2596235.9999999995,0.0001937933788865118,0.0001928357446973766,0.23260574491131591,200120.80752671027,332204.6351423823,493799.3468758162,672421.2908260968,855663.5499755152,2596236.0,1032650386.079,1714220769.8278806,2548071300.0261602,3469784647.3892,4415339444.99004,1200.2770489260793,86.861,142.67600000000004,212.346,292.951,381.682,"(0, 1436.666]",11161530.0,11888539.0,12014780.13,11999619.96,11844249.2,11568110.219999999,2011
17,Guinea-Bissau,1,245689.00000000003,245688.99999999968,0.000103830404608391,0.00010982564366821428,0.15126509332433627,-336.0562073217967,-572.6049431480482,-940.9714195042271,-1475.0628493698152,-2196.1456633764583,245689.00000000003,10917871.811044,18602921.866800003,30570497.173307005,47922183.110373996,71348888.39641199,1456.847769156356,5.602,9.175,14.609000000000002,22.366,32.796,"(0, 1436.666]",1624228.0,1948923.922,2027566.416,2092579.723,2142635.389,2175536.297,2011
18,Haiti,1,2211201.0,2211201.0000000005,0.00013951319963874563,0.00014111591344519555,0.22039579127156514,1993.2184339154883,3091.492204556093,4592.019281460416,6477.540437450178,8679.000244605402,2211201.0,406578612.35564995,630605551.9302,936684507.6276901,1321294925.69592,1770350813.56047,1579.748667812481,36.785,57.015,85.209,121.751,166.317,"(0, 1436.666]",10032864.0,11052837.09,11060344.68,10992788.41,10852435.92,10644436.91,2011
19,Kenya,1,13567900.0,13567900.000000063,0.0001248962531516289,0.0001213181560213192,0.32283085534794026,625070.413895616,1006547.5153085242,1569575.676856085,2348341.6927754716,3367196.0322336173,13567900.0,12276165225.359089,19768242633.806038,30825919631.52468,46120612950.53616,66130557324.34076,2584.7921551018107,214.093,325.061,482.721,695.283,969.428,"(0, 1436.666]",42027891.0,57340339.129999995,60813947.64,63858667.08,66333583.52,68216058.67,2011
20,Kyrgyz Republic,1,6615268.0,6615268.000000016,0.0004107342022437184,0.0004048022996710987,1.1995916294926197,62532.600545843954,86144.2021291102,112608.2462856477,139611.736184567,164670.11778775195,6615268.0,185691484.14377597,255806485.00311,334391856.36106604,414579119.846385,488990355.41822404,2920.6032099094946,32.864000000000004,45.735,60.886,77.541,94.677,"(0, 1436.666]",5514600.0,5650300.758999999,5593232.426,5492097.631,5346579.485,5164827.312,2011
21,Lesotho,1,2200200.0,2200199.999999999,0.0004710778376155881,0.0005032060119630768,1.084100839806141,7733.92672148791,11631.52924861422,17229.02696268741,24814.454522062566,34505.05394085597,2200200.0,22985687.83174,34569593.16301401,51205687.57247999,73750027.10774401,102551061.971955,2301.319979928234,9.452,14.063,20.715,29.808000000000003,41.595,"(0, 1436.666]",2029516.0,2431833.245,2458194.7780000004,2471913.4719999996,2474168.918,2465466.089,2011
22,Liberia,1,891081.0,891080.999999999,0.0002996195608722037,0.00029468549589909174,0.21841842666256833,35404.68851929961,71476.79189226821,135381.12428213086,240458.94571402998,400595.28652408003,891081.0,118165477.635156,238558496.261715,451843410.65059805,802547554.0183201,1337013128.77548,728.9858713721632,15.666,28.343000000000004,48.823,79.992,124.548,"(0, 1436.666]",4079697.0,7542798.266,8416840.004999999,9254724.426,10032847.71,10734922.51,2011
23,Madagascar,1,2449556.0,2449555.9999999744,8.237737233075522e-05,7.11892785857786e-05,0.11299245617888776,149491.5596280035,262436.6100676978,444930.7906968982,721385.841117117,1116863.105868166,2449556.0,1814716291.6022398,3185785157.28792,5401128709.35542,8757087300.875198,13557887005.47325,1371.644336083084,59.274,97.464,156.542,243.131,364.145,"(0, 1436.666]",21678934.0,30615721.759999998,32686788.53,34502745.01,36017979.199999996,37232110.85,2011
24,Malawi,1,1206443.0,1206442.9999999967,0.00010444688436728915,0.00010965024690036331,0.07804888115702308,129973.80941169374,239957.5922272169,429254.90407065745,735480.4185837188,1204319.5924236,1206443.0,1244401019.7052798,2297412638.7858806,4109791370.7141013,7041669294.7718,11530450139.504341,747.2590650245049,51.484,86.45200000000001,142.14600000000004,226.484,348.843,"(0, 1436.666]",15457531.0,24170635.919999998,26574430.19,28912465.85,31091243.95,33053408.38,2011
25,Mali,1,1250447.0,1250446.999999999,5.2313767661730216e-05,5.311158699903919e-05,0.08673578494218213,-101644.75652848452,-177751.22784935043,-300096.98104930157,-483805.8697635064,-743664.8908952426,1250447.0,1235096536.3155,2159874580.259701,3646511187.7056,5878777955.71836,9036353298.428751,1657.9915540213158,52.658,85.45700000000002,135.535,207.746,307.055,"(0, 1436.666]",14416737.0,23455059.75,25274402.1,26904572.16,28297911.66,29429103.25,2011
26,Mauritania,1,2310210.0,2310210.000000007,0.00018584201923670045,0.00017951959177843786,0.6239151682135745,13063.565203791963,19214.055554832,27447.577839892154,38051.195685799816,51136.84380297988,2310210.0,116781650.956494,171763916.99042103,245367432.618552,340158401.1512,457137462.1594801,3357.234121627336,24.546,34.349000000000004,47.142,63.46,83.60700000000001,"(0, 1436.666]",3702763.0,4757665.239,5000550.729,5204858.356,5360201.72,5467693.640000001,2011
27,Mozambique,1,3281965.0,3281965.000000005,0.00013714076262485167,0.0001290449720095763,0.13351434035381352,411863.41027437727,698458.323808282,1146014.1557466397,1812359.9343290988,2757632.654294214,3281965.0,3003216566.6238003,5093003060.7961,8356480843.566239,13215326352.579819,20108045204.8944,973.5569337545671,94.218,151.51,238.128,364.126,539.76,"(0, 1436.666]",24581367.0,31875189.1,33614963.11,35092390.83,36293278.57,37253677.940000005,2011
